visit_id,gt_plate,note
plate_20260715_095410_448_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_095413_052_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095413_688_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_095414_406_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095414_968_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095418_398_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095421_454_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_095421_678_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095422_623_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095423_212_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_095423_618_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095425_398_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095426_519_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_095427_937_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_095428_278_1H-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095428_888_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_095429_358_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_095429_698_2A-26.jpg,1M-7776,verified from plate photo
plate_20260715_095430_233_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_095431_217_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_095434_988_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_095435_509_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_095436_200_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095438_153_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095438_870_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095439_988_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095441_644_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095442_528_1A-72-76.jpg,1M-7776,verified from plate photo
plate_20260715_095445_803_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_095450_493_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_095450_948_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_234019_956_4A-17.jpg,4A-1483,verified from plate photo
plate_20260715_234023_863_4A-1483.jpg,4A-1483,verified from plate photo
plate_20260715_234035_235_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_234121_150_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_234124_623_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_234129_013_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260715_234135_868_1M-777.jpg,1M-7776,verified from plate photo
plate_20260715_234137_331_1M-777.jpg,1M-7776,verified from plate photo
plate_20260715_234139_580_1M-777.jpg,1M-7776,verified from plate photo
plate_20260715_234152_124_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260715_234154_106_1M-777.jpg,1M-7776,verified from plate photo
plate_20260715_234156_187_1M-777.jpg,1M-7776,verified from plate photo
plate_20260717_082332_306_3A-1311.jpg,3A-1311,verified from plate photo
plate_20260717_082346_848_3A-13.jpg,3A-1311,verified from plate photo
plate_20260717_082347_302_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260717_082349_039_3A-1311.jpg,3A-1311,verified from plate photo
plate_20260717_082402_565_3A--13.jpg,3A-1311,verified from plate photo
plate_20260717_082411_032_3A-1311.jpg,3A-1311,verified from plate photo
plate_20260717_082412_043_3A-1311.jpg,3A-1311,verified from plate photo
plate_20260717_082413_352_3A-1311.jpg,3A-1311,verified from plate photo
plate_20260718_220515_863_1J7776.jpg,1M-7776,verified from plate photo
plate_20260718_220516_362_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220518_224_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220519_117_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220523_281_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220527_158_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220616_038_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220617_438_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220618_986_1B-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220619_833_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220630_290_1H-7770.jpg,1M-7776,verified from plate photo
plate_20260718_220631_559_1A-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220632_784_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220634_648_1H-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220637_754_1H-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220638_419_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220639_564_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220640_546_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260718_220641_080_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220651_905_1-7-76.jpg,1M-7776,verified from plate photo
plate_20260718_220654_070_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220654_543_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220655_969_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220657_823_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220702_418_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220703_772_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220733_524_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220734_296_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220740_376_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220741_426_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220747_426_1J-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220747_745_unreadable.jpg,SKIP-phone-screen-not-a-gate-visit,camera pointed at a phone screen; true plate not legible
plate_20260718_220749_838_1J-76.jpg,1M-7776,verified from plate photo
plate_20260718_220751_095_1H-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220752_804_1A-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220754_266_1A-77-76.jpg,1M-7776,verified from plate photo
plate_20260718_220755_757_1A-77-76.jpg,1M-7776,verified from plate photo
plate_20260718_220854_341_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220854_950_1A-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220856_133_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220857_449_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220902_786_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220906_078_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220906_864_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220908_184_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220911_834_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220914_645_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220920_588_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220921_964_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_220941_347_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_221011_486_1-7776.jpg,1M-7776,verified from plate photo
plate_20260718_221026_463_1A-7776.jpg,1M-7776,verified from plate photo
plate_20260718_221030_259_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_221035_769_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_221037_879_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_221048_087_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_221055_412_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_221058_322_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_221102_141_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_221104_002_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_221110_292_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_221119_718_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_221129_897_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_221136_588_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_221145_238_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_221150_259_1A-7.jpg,1M-7776,verified from plate photo
plate_20260718_221209_101_1M-7776.jpg,1M-7776,verified from plate photo
plate_20260718_221224_381_1M-7776.jpg,1M-7776,verified from plate photo
